id;nombre;caracterizacion;hierro;fecha_nacimiento;fecha_compra;sexo;castrado;fecha_castracion;estado
1;CFA Franc BCEAO Branding optical;Auto Loan Account;NO;2021-02-19;2021-02-19;HEMBRA;SI;2021-02-19;VIVO
2;input New Hampshire Refined Metal Bike;Strategist Generic Rubber Tuna backing up;NO;2021-02-19;2021-02-19;HEMBRA;SI;2021-02-19;MUERTO
3;override card;Infrastructure;NO;2021-02-19;2021-02-19;HEMBRA;NO;2021-02-19;VIVO
4;Metal Beauty;Beauty;SI;2021-02-19;2021-02-19;MACHO;SI;2021-02-19;VIVO
5;Mountains impactful SDD;maroon Quality;NO;2021-02-19;2021-02-19;HEMBRA;NO;2021-02-19;VIVO
6;IB Eritrea;Streets Handcrafted Cotton Chips transitional;SI;2021-02-19;2021-02-19;HEMBRA;NO;2021-02-19;VIVO
7;transmitter application Buckinghamshire;bypass input;SI;2021-02-19;2021-02-19;MACHO;NO;2021-02-19;MUERTO
8;Specialist multimedia;Refined;SI;2021-02-19;2021-02-19;MACHO;SI;2021-02-19;MUERTO
9;Berkshire transmitter blue;Automotive functionalities;NO;2021-02-19;2021-02-19;MACHO;SI;2021-02-19;MUERTO
10;purple Washington;HTTP Coordinator;NO;2021-02-19;2021-02-19;MACHO;SI;2021-02-19;MUERTO
